SourceNode	SourceLayer	TargetNode	TargetLayer
GNAQ	G-proteins	AKAP13	Effectors
GNAQ	G-proteins	TUBB3	Effectors
GNAQ	G-proteins	TUBB2A	Effectors
GNAQ	G-proteins	TUBA1A	Effectors
GNAQ	G-proteins	ARHGEF1	Effectors
GNAQ	G-proteins	TUBGCP3	Effectors
GNAQ	G-proteins	TUBGCP6	Effectors
GNAQ	G-proteins	TUBGCP5	Effectors
GNAQ	G-proteins	TTC1	Effectors
GNAQ	G-proteins	TUBA1C	Effectors
GNAQ	G-proteins	TUBGCP2	Effectors
GNAQ	G-proteins	TUBB6	Effectors
GNAQ	G-proteins	TUBB2B	Effectors
GNAQ	G-proteins	TUBB1	Effectors
GNAQ	G-proteins	RIC8A	Effectors
GNAQ	G-proteins	TUBG2	Effectors
GNAQ	G-proteins	TUBA8	Effectors
GNAQ	G-proteins	ARHGEF12	Effectors
GNAQ	G-proteins	TUBE1	Effectors
GNA13	G-proteins	ARHGEF11	Effectors
GNA13	G-proteins	CDH1	Effectors
GNA13	G-proteins	ARHGEF1	Effectors
GNA13	G-proteins	MAP3K5	Effectors
GNA13	G-proteins	RIC8A	Effectors
GNA13	G-proteins	ARHGEF12	Effectors
JUN	Effectors	NPM1	Effectors
JUN	Effectors	TUBB	Effectors
JUN	Effectors	HSP90AB1	Effectors
JUN	Effectors	YWHAQ	Effectors
JUN	Effectors	MYH9	Effectors
JUN	Effectors	RANGAP1	Effectors
JUN	Effectors	RAC1	Effectors
JUN	Effectors	TUBA1B	Effectors
JUN	Effectors	TUBA4A	Effectors
JUN	Effectors	TUBB4B	Effectors
JUN	Effectors	YWHAH	Effectors
JUN	Effectors	TUBB3	Effectors
JUN	Effectors	TUBB2A	Effectors
JUN	Effectors	TUBA1A	Effectors
JUN	Effectors	ITCH	Effectors
JUN	Effectors	TUBGCP2	Effectors
JUN	Effectors	TUBB6	Effectors
JUN	Effectors	TUBB2B	Effectors
JUN	Effectors	TUBB1	Effectors
MYH9	Effectors	CAPZA2	Effectors
MYH9	Effectors	RAC1	Effectors
MYH9	Effectors	TUBA4A	Effectors
CAPZA2	Effectors	TUBB6	Effectors
PTEN	Effectors	TUBA1B	Effectors
PTEN	Effectors	TUBB4B	Effectors
PTEN	Effectors	TUBB3	Effectors
PTEN	Effectors	TUBB2A	Effectors
PTEN	Effectors	TUBA1C	Effectors
TUBB3	Effectors	TUBB2A	Effectors
TUBB3	Effectors	TUBA1A	Effectors
TUBB3	Effectors	TUBA1C	Effectors
TUBB3	Effectors	TUBB2B	Effectors
TUBB3	Effectors	TUBB1	Effectors
TUBA1A	Effectors	TUBGCP3	Effectors
TUBA1A	Effectors	TTC1	Effectors
TUBA1A	Effectors	TUBA1C	Effectors
TUBA1A	Effectors	TUBGCP2	Effectors
TUBA1A	Effectors	TUBB6	Effectors
TUBA1A	Effectors	TUBB2B	Effectors
ARF6	Effectors	RAC1	Effectors
ARF6	Effectors	TUBA1A	Effectors
CDH1	Effectors	MYH9	Effectors
CDH1	Effectors	RANGAP1	Effectors
CDH1	Effectors	PTEN	Effectors
CDH1	Effectors	TUBB4B	Effectors
CDH1	Effectors	ARHGEF12	Effectors
TUBB	Effectors	HSP90AB1	Effectors
TUBB	Effectors	CDH1	Effectors
TUBB	Effectors	TUBG1	Effectors
TUBB	Effectors	GRK2	GRKs
TUBB	Effectors	YWHAQ	Effectors
TUBB	Effectors	PTEN	Effectors
TUBB	Effectors	TUBA1B	Effectors
TUBB	Effectors	TUBA4A	Effectors
TUBB	Effectors	TUBB4B	Effectors
TUBB	Effectors	TUBB3	Effectors
TUBB	Effectors	TUBB2A	Effectors
TUBB	Effectors	TUBA1A	Effectors
TUBB	Effectors	TUBGCP3	Effectors
TUBB	Effectors	TUBA1C	Effectors
TUBB	Effectors	TUBGCP2	Effectors
TUBB	Effectors	TRAF6	Effectors
YWHAQ	Effectors	MYH9	Effectors
YWHAQ	Effectors	PIK3CB	Effectors
YWHAQ	Effectors	TUBA1B	Effectors
YWHAQ	Effectors	YWHAH	Effectors
YWHAQ	Effectors	TUBB3	Effectors
YWHAQ	Effectors	TUBB2A	Effectors
YWHAQ	Effectors	TUBA1A	Effectors
YWHAQ	Effectors	TUBGCP3	Effectors
YWHAQ	Effectors	MAP3K5	Effectors
YWHAQ	Effectors	TUBA1C	Effectors
PIK3CA	Effectors	RAC1	Effectors
PIK3CA	Effectors	YWHAH	Effectors
PIK3CA	Effectors	ARHGEF1	Effectors
TUBA1C	Effectors	TUBB6	Effectors
TUBA1C	Effectors	TUBB2B	Effectors
TUBB6	Effectors	TRAF6	Effectors
NPM1	Effectors	HSP90AB1	Effectors
NPM1	Effectors	YWHAQ	Effectors
NPM1	Effectors	TUBB3	Effectors
NPM1	Effectors	TUBA1A	Effectors
