SourceNode	SourceLayer	TargetNode	TargetLayer
EfTuM	Layer2	RpL11	Layer2
fne	Layer2	Tango4	Layer2
fne	Layer2	Srp54	Layer2
fne	Layer2	CG10777	Layer2
fne	Layer2	Prp8	Layer2
fne	Layer2	mago	Layer2
fne	Layer2	CG16941	Layer2
fne	Layer2	yps	Layer2
fne	Layer2	CG10077	Layer2
fne	Layer2	Rbp9	Layer2
fne	Layer2	U2A	Layer2
fne	Layer2	Pkc53E	Layer2
fne	Layer2	Hrb98DE	Layer2
fne	Layer2	LS2	Layer2
fne	Layer2	SF2	Layer2
fne	Layer2	mub	Layer2
fne	Layer2	heph	Layer2
Klp10A	Layer2	deltaCOP	Layer2
Mtl	Layer2	zip	Layer2
Mtl	Layer2	tsr	Layer2
Mtl	Layer2	RhoGDI	Layer2
Hsp60	Layer2	CG7033	Layer2
RanBPM	Layer2	CG6617	Layer2
yps	Layer2	Tango4	Layer2
yps	Layer2	LS2	Layer2
yps	Layer2	mago	Layer2
yps	Layer2	CG10777	Layer2
Art4	Layer2	CG10777	Layer2
Art4	Layer2	CG10077	Layer2
Art4	Layer2	pAbp	Layer2
ImpL3	Layer2	Cat	Layer2
ImpL3	Layer2	Men-b	Layer2
ImpL3	Layer2	Pfk	Layer2
ImpL3	Layer2	Men	Layer2
ImpL3	Layer2	Eno	Layer2
ImpL3	Layer2	Tpi	Layer2
ImpL3	Layer2	PyK	Layer2
ImpL3	Layer2	CG11876	Layer2
CG10077	Layer2	CG10777	Layer2
CG10077	Layer2	LS2	Layer2
CG10077	Layer2	Tango4	Layer2
CG10077	Layer2	yps	Layer2
CG10077	Layer2	mago	Layer2
Lam	Layer2	Rab5	Layer2
LamC	Layer2	Lam	Layer2
Ubqn	Layer2	HDAC6	Layer2
Ubqn	Layer2	CG32683	Layer2
mub	Layer2	CG3800	Layer2
mub	Layer2	mago	Layer2
mub	Layer2	U2A	Layer2
mub	Layer2	Srp54	Layer2
mub	Layer2	Tango4	Layer2
mub	Layer2	Prp8	Layer2
mub	Layer2	CG10777	Layer2
mub	Layer2	CG16941	Layer2
mub	Layer2	yps	Layer2
mub	Layer2	CG10077	Layer2
mub	Layer2	LS2	Layer2
mub	Layer2	Hrb98DE	Layer2
mub	Layer2	Rbp9	Layer2
mub	Layer2	SF2	Layer2
AGO1	Layer2	Rbp9	Layer2
AGO1	Layer2	pAbp	Layer2
AGO1	Layer2	Rae1	Layer2
AGO1	Layer2	me31B	Layer2
glo	Layer2	Hrb98DE	Layer2
Sap-r	Layer2	CG3529	Layer2
Sap-r	Layer2	Mgstl	Layer2
Sap-r	Layer2	pins	Layer2
Sap-r	Layer2	Rab5	Layer2
Sap-r	Layer2	Ost48	Layer2
Ndg	Layer2	Cg25C	Layer2
Ndg	Layer2	LanB2	Layer2
