SourceNode	SourceLayer	TargetNode	TargetLayer
Group-4	Layer1	RpS27	Layer2
Group-4	Layer1	RpS18	Layer2
Group-4	Layer1	RpS10b	Layer2
Group-4	Layer1	RpS3A	Layer2
Group-4	Layer1	RpS16	Layer2
Group-4	Layer1	RpS15Ab	Layer2
Group-4	Layer1	RpL3	Layer2
Group-4	Layer1	Tcp-1zeta	Layer2
Group-4	Layer1	T-cp1	Layer2
Group-4	Layer1	RpS3	Layer2
Group-4	Layer1	RpL26	Layer2
Group-4	Layer1	RpS12	Layer2
Group-4	Layer1	CG5642	Layer2
Group-4	Layer1	CG9769	Layer2
Group-4	Layer1	CG7033	Layer2
Group-4	Layer1	Cct5	Layer2
Group-4	Layer1	RpLP2	Layer2
Group-4	Layer1	RpS23	Layer2
Group-4	Layer1	RpS14a	Layer2
Group-4	Layer1	Rack1	Layer2
Group-4	Layer1	RpL11	Layer2
Group-4	Layer1	RpS13	Layer2
Group-4	Layer1	RpL18A	Layer2
Group-4	Layer1	RpS4	Layer2
Group-4	Layer1	RpL4	Layer2
Group-4	Layer1	sta	Layer2
Group-4	Layer1	wuho	Layer2
Group-4	Layer1	bsf	Layer2
Group-4	Layer1	kra	Layer2
Group-4	Layer1	Hsp67Bc	Layer2
Group-4	Layer1	su(r)	Layer2
Group-4	Layer1	FeCH	Layer2
Group-4	Layer1	CG8635	Layer2
Group-5	Layer1	nito	Layer2
Group-5	Layer1	bol	Layer2
Group-5	Layer1	Kap-alpha3	Layer2
Group-5	Layer1	CG2082	Layer2
Group-5	Layer1	lig	Layer2
Group-5	Layer1	clu	Layer2
Group-5	Layer1	Dbp80	Layer2
Group-5	Layer1	Plc21C	Layer2
Group-5	Layer1	Hrb27C	Layer2
Group-5	Layer1	bel	Layer2
Group-5	Layer1	Dp1	Layer2
Group-5	Layer1	Lpin	Layer2
Group-5	Layer1	Pkc53E	Layer2
Group-5	Layer1	Nlp	Layer2
Group-5	Layer1	rin	Layer2
Group-5	Layer1	poe	Layer2
Group-5	Layer1	CG43367	Layer2
Group-5	Layer1	emb	Layer2
Group-5	Layer1	fne	Layer2
Group-5	Layer1	RanBPM	Layer2
Group-5	Layer1	yps	Layer2
Group-5	Layer1	Art4	Layer2
Group-5	Layer1	CG10077	Layer2
Group-5	Layer1	mub	Layer2
Group-5	Layer1	AGO1	Layer2
Group-5	Layer1	glo	Layer2
Group-5	Layer1	Srp54	Layer2
Group-5	Layer1	Rbp9	Layer2
Group-5	Layer1	Rae1	Layer2
Group-5	Layer1	Mtor	Layer2
Group-5	Layer1	Ref1	Layer2
Group-5	Layer1	mago	Layer2
Group-5	Layer1	B52	Layer2
Group-5	Layer1	LS2	Layer2
Group-5	Layer1	U2af50	Layer2
Group-5	Layer1	Fmr1	Layer2
Group-5	Layer1	Top2	Layer2
Group-5	Layer1	heph	Layer2
Group-5	Layer1	Hrb98DE	Layer2
Group-5	Layer1	Tudor-SN	Layer2
Group-5	Layer1	SF2	Layer2
Group-5	Layer1	me31B	Layer2
Group-5	Layer1	CG16941	Layer2
Group-5	Layer1	Prp8	Layer2
Group-5	Layer1	Tango4	Layer2
Group-5	Layer1	U2A	Layer2
Group-5	Layer1	smt3	Layer2
Group-5	Layer1	pAbp	Layer2
Group-5	Layer1	Not1	Layer2
Group-5	Layer1	Not3	Layer2
Group-5	Layer1	CG2091	Layer2
Group-5	Layer1	Capr	Layer2
Group-5	Layer1	Gbeta76C	Layer2
Group-5	Layer1	CG10777	Layer2
Group-5	Layer1	CG6617	Layer2
Group-5	Layer1	CG3800	Layer2
Group-5	Layer1	tyf	Layer2
Group-5	Layer1	CG11505	Layer2
Group-6	Layer1	CG6178	Layer2
Group-6	Layer1	frj	Layer2
Group-6	Layer1	CG9090	Layer2
Group-6	Layer1	Ssadh	Layer2
Group-6	Layer1	l(1)G0156	Layer2
Group-6	Layer1	CG32026	Layer2
Group-6	Layer1	Men-b	Layer2
Group-6	Layer1	CG11899	Layer2
